,Coverage,Width,Type,Coverage Error,Efficiency
MAPIE,0.8555555555555555,1.5299999999999943,Conformal,0.04444444444444451,0.6535947712418325
Heteroscedastic,0.8222222222222222,9.839358725718212,Hybrid,0.07777777777777783,0.10163263967459488
Robust Conformal,0.07777777777777778,0.1580830575827079,Conformal,0.8222222222222222,6.325788577797511
