temp_category,count,mean_temp,median_temp,std_temp,min_temp,max_temp
Low,165,26.78787878787879,26.9,0.43739638198564357,25.4,27.3
Medium,156,27.76666666666667,27.8,0.2264261848910178,27.4,28.1
High,141,28.579432624113473,28.5,0.3309116693742684,28.2,29.5
