idx,y,year,month_of_year,IS_WEEKEND(month),MONTH(month),WEEKDAY(month)
185,29.3,1997,6,True,6,6
186,28.8,1997,7,False,7,1
187,28.8,1997,8,False,8,4
188,28.8,1997,9,False,9,0
189,28.2,1997,10,False,10,2
190,27.8,1997,11,True,11,5
191,27.3,1997,12,False,12,0
192,28.0,1998,1,False,1,3
193,28.9,1998,2,True,2,6
194,29.5,1998,3,True,3,6
195,29.2,1998,4,False,4,2
196,29.4,1998,5,False,5,4
197,28.6,1998,6,False,6,0
198,28.1,1998,7,False,7,2
199,27.5,1998,8,True,8,5
200,27.9,1998,9,False,9,1
201,28.0,1998,10,False,10,3
202,27.9,1998,11,True,11,6
203,26.6,1998,12,False,12,1
204,26.6,1999,1,False,1,4
205,27.2,1999,2,False,2,0
206,27.1,1999,3,False,3,0
207,28.3,1999,4,False,4,3
208,28.0,1999,5,True,5,5
209,28.2,1999,6,False,6,1
210,27.8,1999,7,False,7,3
211,27.5,1999,8,True,8,6
212,27.9,1999,9,False,9,2
213,27.2,1999,10,False,10,4
214,27.3,1999,11,False,11,0
215,26.8,1999,12,False,12,2
216,26.3,2000,1,True,1,5
217,26.6,2000,2,False,2,1
218,27.2,2000,3,False,3,2
219,27.5,2000,4,True,4,5
220,28.6,2000,5,False,5,0
221,27.6,2000,6,False,6,3
222,28.1,2000,7,True,7,5
223,27.5,2000,8,False,8,1
224,28.0,2000,9,False,9,4
225,27.8,2000,10,True,10,6
226,27.3,2000,11,False,11,2
227,27.0,2000,12,False,12,4
228,26.5,2001,1,False,1,0
229,27.0,2001,2,False,2,3
230,27.5,2001,3,False,3,3
231,27.7,2001,4,True,4,6
232,28.5,2001,5,False,5,1
233,28.2,2001,6,False,6,4
234,28.4,2001,7,True,7,6
235,28.0,2001,8,False,8,2
236,28.0,2001,9,True,9,5
237,27.6,2001,10,False,10,0
238,27.2,2001,11,False,11,3
239,26.7,2001,12,True,12,5
240,27.0,2002,1,False,1,1
241,27.3,2002,2,False,2,4
242,28.2,2002,3,False,3,4
243,28.6,2002,4,False,4,0
244,28.9,2002,5,False,5,2
245,28.7,2002,6,True,6,5
246,28.4,2002,7,False,7,0
247,28.5,2002,8,False,8,3
248,28.1,2002,9,True,9,6
249,28.7,2002,10,False,10,1
250,27.4,2002,11,False,11,4
251,27.2,2002,12,True,12,6
252,26.7,2003,1,False,1,2
253,27.1,2003,2,True,2,5
254,28.1,2003,3,True,3,5
255,27.9,2003,4,False,4,1
