start_idx,end_idx,start_month,dtw_to_mean,dtw_to_median,dtw_to_prev
122,133,1992-03-01,3.477596542715633,3.455488561643265,1.1028566288126667
123,134,1992-04-01,3.474022788389057,3.447134648757666,0.6215353977905697
124,135,1992-05-01,3.4618324872495836,3.433946590963027,1.2407781569091192
125,136,1992-06-01,3.4533206637683587,3.431148153601406,0.7513930555295476
126,137,1992-07-01,3.443929164665039,3.4215604164408555,1.0044876871980073
127,138,1992-08-01,3.443931756960424,3.4228044311582475,0.9582883949863583
128,139,1992-09-01,3.4286595919212846,3.432880284971209,0.9417852312556694
129,140,1992-10-01,3.4429198695959617,3.4525740941350915,0.8196027028604685
130,141,1992-11-01,3.4433362343991285,3.488840481463542,1.4071500690878311
131,142,1992-12-01,3.439263707437629,3.4676093182419327,1.1145630250018255
132,143,1993-01-01,3.4425355444421815,3.4670034136180705,0.986863000222707
133,144,1993-02-01,3.4463231130899663,3.458246668082426,0.7003711795100632
134,145,1993-03-01,3.4491163300230463,3.4496747189182098,0.1912220812013178
135,146,1993-04-01,3.4589694013053536,3.4428377816482136,1.3422139659671974
136,147,1993-05-01,3.462953542967139,3.4333935543620737,1.7977456887606476
137,148,1993-06-01,3.4579770346053755,3.430182250572897,0.5643941583049039
138,149,1993-07-01,3.4485761707440847,3.423336037690216,0.8444440828823019
139,150,1993-08-01,3.4493248739993656,3.446673491418739,1.0310824889582049
140,151,1993-09-01,3.4312577956977757,3.442153117335917,1.0244077811633212
141,152,1993-10-01,3.432182104908033,3.464453971851383,0.7570588189820124
142,153,1993-11-01,3.456475700432283,3.533914432850446,1.1801618742547282
143,154,1993-12-01,3.464045740903459,3.5401874580108466,1.837486913924874
144,155,1994-01-01,3.4689369810005983,3.528591333903688,0.5495929729634161
145,156,1994-02-01,3.465071994541369,3.5023020826210227,0.23137280328948484
146,157,1994-03-01,3.4654160629196764,3.47769403106298,0.41840870855264095
147,158,1994-04-01,3.4491692164343406,3.4240600838435413,2.1481073959153982
148,159,1994-05-01,3.451419867723007,3.4240407118702922,0.5472404265644889
149,160,1994-06-01,3.451227196646998,3.428036143307084,0.8315250012166706
150,161,1994-07-01,3.4543775104216183,3.4252671749877295,0.5813328412618659
151,162,1994-08-01,3.4534453720360885,3.433067744971232,1.1770958510757996
152,163,1994-09-01,3.4327335243961614,3.467697984179464,0.85435161432748
153,164,1994-10-01,3.41406721390237,3.4787846818062373,1.3364839162189786
154,165,1994-11-01,3.4128591772491674,3.4781725596150186,1.753569066400497
155,166,1994-12-01,3.4386744442173414,3.4763945064493758,1.184252650178831
156,167,1995-01-01,3.4567040701059293,3.4866113962576,0.8341609169609968
157,168,1995-02-01,3.464896653556646,3.4868239332518334,0.3856154731683605
158,169,1995-03-01,3.4708317772710098,3.4705887060281766,1.3557940600938287
159,170,1995-04-01,3.466198350327176,3.4304446159461306,1.562786216314999
160,171,1995-05-01,3.463406346564423,3.4373323446022206,0.7256632427925612
161,172,1995-06-01,3.4579279795005533,3.440044359347634,0.9585499994793756
162,173,1995-07-01,3.4410711284771396,3.445807686353378,1.0127060456194399
163,174,1995-08-01,3.433620918321335,3.4391118266536114,0.816540804488996
164,175,1995-09-01,3.465798554166103,3.4590136502773143,1.6018027679296625
165,176,1995-10-01,3.4319145866194645,3.4959376325115787,0.7536744018781111
166,177,1995-11-01,3.4185025844160633,3.4598616500692456,1.0534591833189804
167,178,1995-12-01,3.4235892360999007,3.458789401330425,1.0325399002410631
168,179,1996-01-01,3.440228463200353,3.463556847296334,1.077925743802649
169,180,1996-02-01,3.4536104921229027,3.4637275507212872,0.7563512167212731
170,181,1996-03-01,3.4645644929277815,3.44577820835606,2.1644962093200544
171,182,1996-04-01,3.4581768824107453,3.428733453033622,1.281176411533223
172,183,1996-05-01,3.461097566381867,3.437431234350544,1.234985524023041
173,184,1996-06-01,3.445619763796652,3.4490553849930183,1.7888684724559978
174,185,1996-07-01,3.4416037685063574,3.4679588459189987,0.7527029515513637
175,186,1996-08-01,3.4378736962982828,3.4791353017150906,1.393418912863585
176,187,1996-09-01,3.413339882795902,3.4654384562289335,0.5487716104176015
177,188,1996-10-01,3.3967873405752558,3.4689580859262454,0.5043926719823071
