start_idx,end_idx,start_month,lb_centroid_0,dtw_centroid_0,dtw_exact_flag_centroid_0,lb_centroid_1,dtw_centroid_1,dtw_exact_flag_centroid_1,lb_centroid_2,dtw_centroid_2,dtw_exact_flag_centroid_2,lb_centroid_3,dtw_centroid_3,dtw_exact_flag_centroid_3
0,11,1982-01-01,0.4545957681461657,1.2875147296235454,True,2.683619812571748,2.683619812571748,False,2.0378041816639603,3.3239569255748638,True,2.9479892025037606,3.5826963417884534,True
1,12,1982-02-01,0.6095100869927829,1.76694988018307,True,1.914329155126477,5.669532714809276,True,2.9151876247844273,3.360909071877083,True,1.8146462034868784,2.490981697659126,True
2,13,1982-03-01,0.8768309765036841,2.794236867396174,True,0.8679251147057068,2.926332798691891,True,3.136016053301174,3.8257356423293842,True,2.1284764671794525,2.3053201889676136,True
3,14,1982-04-01,1.4650180765518737,3.817768221843558,True,0.9022321498763964,2.2140196030818067,True,2.7053616609377094,4.2260763211678105,True,2.5813912712675386,2.70678854273249,True
4,15,1982-05-01,2.002531233179336,5.126467306648329,True,0.48286690590614234,1.2542010074989587,True,1.695140631226378,2.781677768854168,True,2.5898184903905093,2.866124423713647,True
5,16,1982-06-01,2.2791301110132323,5.41613931738743,True,0.4465768959979753,1.35385845925964,True,0.9711307452595168,1.576224448563059,True,2.547242720135635,2.9510281185484994,True
6,17,1982-07-01,2.272118047420651,4.396647676664342,True,0.4634692414845517,1.650900416120053,True,0.6748204533833301,1.2910479221870814,True,2.5229635118305844,3.52796508660904,True
7,18,1982-08-01,1.4326106899282562,2.970090736203837,True,0.5127682425254613,2.466667085837172,True,0.8139390223800146,1.3343727140336719,True,2.550207635607417,4.657285556076925,True
8,19,1982-09-01,0.5814716772269475,2.871766302822202,True,0.8338669090454237,2.5230265016944213,True,0.817664930124989,1.3408708167326073,True,2.8885891794986933,4.724388847035211,True
9,20,1982-10-01,0.4614344381030337,2.0035608229234607,True,1.6102195108090522,3.935164075519886,True,1.2383736346671423,1.6420718570905697,True,3.1468092166864396,4.1402026478176746,True
10,21,1982-11-01,0.46204872020984095,1.925167829028016,True,1.9590617469610003,5.186075173523634,True,1.2661579446091977,1.7950332583915891,True,3.3223427198446993,3.7740925215734342,True
11,22,1982-12-01,0.4007734085865968,1.269062216131967,True,2.296947292980596,5.194811306794766,True,2.065611644435984,3.0237278163851578,True,3.0248374410369934,3.3614827644087835,True
12,23,1983-01-01,0.851190470268829,1.4809249167496399,True,2.31077591725828,5.19458782810443,True,3.2488436094981674,4.2698459865227925,True,1.8402023744918368,2.815760513031103,True
13,24,1983-02-01,0.7038858931451991,2.9153528228494183,True,1.7913662694389372,5.071635339149178,True,3.7818154873262957,3.7818154873262957,False,0.38526512423719583,1.8447838218030803,True
14,25,1983-03-01,0.7707483171533996,4.183777959933359,True,1.2988082140618666,4.4551400334027,True,3.751043508841396,3.751043508841396,False,0.25503512896240776,1.3178130750715766,True
15,26,1983-04-01,1.2693235125445903,4.460236414197652,True,0.9751564496014319,3.148020340863386,True,3.549896490795557,3.549896490795557,False,0.5086474941607275,1.5279625576418259,True
16,27,1983-05-01,1.175927378678796,4.46993857440204,True,0.5515093120275633,1.7521363413083428,True,2.927738310184426,4.582761320752291,True,0.5217433851750888,1.1702448080649503,True
17,28,1983-06-01,1.9605950824315301,4.808931416528353,True,0.6266197358308324,1.6588787223723467,True,2.4160857332984174,3.4346835677745386,True,0.9050190443023406,1.4773713576090937,True
18,29,1983-07-01,2.17801816638333,5.299348555272922,True,0.5096962152061317,1.2656627574129515,True,1.7436804497973417,2.26096485056939,True,1.375928996747998,1.7403567043563328,True
19,30,1983-08-01,2.0357949871598975,5.426035047624371,True,0.5867261947937983,1.4503990854529663,True,1.832095231189149,2.048736196542546,True,1.7247986276865899,2.423988305034472,True
20,31,1983-09-01,1.2036163275074458,4.55708525707891,True,0.19138141397085257,1.2757325778159223,True,1.2270654517146968,1.536450257035646,True,2.644667748644637,3.6395973498122864,True
21,32,1983-10-01,0.5953561183626072,3.53727337948719,True,0.4001815260966921,1.715545877448206,True,1.1764259327285378,1.4111932489866952,True,3.1819894453289423,4.674651937965696,True
22,33,1983-11-01,0.5641700545293651,2.880833251340986,True,1.180133253347188,2.4940175009866863,True,0.2918562705920288,1.0305465634164377,True,3.817529357254987,3.817529357254987,False
23,34,1983-12-01,0.26672139566890346,1.4028514357429123,True,2.059575694396595,5.18762048987738,True,0.6828851101545359,2.2284662320708555,True,3.9010077512262775,3.9010077512262775,False
24,35,1984-01-01,0.23714512869513804,1.0413110577333238,True,2.3174154173389074,5.7330704493667675,True,1.6829844477349232,2.7733931495610347,True,3.5133268864075387,3.80233736104303,True
25,36,1984-02-01,0.34067193032242765,1.5536784541407525,True,2.0339359328765547,5.102071417748412,True,2.4285853218112314,3.609418105358276,True,2.908266975606628,3.079238508667763,True
26,37,1984-03-01,0.8376481410693778,2.3669889513258253,True,1.2558828277520078,3.322853971978575,True,3.0432369797560836,4.156173720132925,True,1.7698255771088895,2.240477753449284,True
27,38,1984-04-01,1.1153488615306695,4.17241290932074,True,0.7762340252858654,2.2216915925485385,True,2.841836091923055,4.504757921117277,True,0.8672185215215317,1.5917167733440423,True
28,39,1984-05-01,2.017598697788915,4.699523144058746,True,0.7816359481292605,1.5724742649114416,True,1.8813653576365554,3.4187455465865715,True,1.5186043456561116,2.003503174141133,True
29,40,1984-06-01,2.596527926670751,2.596527926670751,False,0.5795466018214808,1.3101732525745091,True,1.264574921097741,2.497762487049219,True,2.3940487718732997,2.6756237842518193,True
