start_idx,end_idx,cluster_id,start_month,dist_to_centroid_pca_0,dist_to_centroid_pca_1,dist_to_centroid_pca_2,dist_to_centroid_pca_3,lb_centroid_0,dtw_centroid_0,dtw_exact_flag_centroid_0,lb_centroid_1,dtw_centroid_1,dtw_exact_flag_centroid_1,lb_centroid_2,dtw_centroid_2,dtw_exact_flag_centroid_2,lb_centroid_3,dtw_centroid_3,dtw_exact_flag_centroid_3,dtw_to_mean,dtw_to_median,dtw_to_prev
27,38,3,1984-04-01,4.514801348436999,3.7781132938170257,5.536265466500556,1.385207738943592,1.1153488615306695,4.17241290932074,True,0.7762340252858654,2.2216915925485385,True,2.841836091923055,4.504757921117277,True,0.8672185215215317,1.5917167733440423,True,3.4556031656880495,3.4320479861285262,1.7352851840632253
28,39,1,1984-05-01,5.115786159022642,2.4516964687831795,5.277287197175965,2.7472147724742504,2.017598697788915,4.699523144058746,True,0.7816359481292605,1.5724742649114416,True,1.8813653576365554,3.4187455465865715,True,1.5186043456561116,2.003503174141133,True,3.4532839561648103,3.429848361982004,0.8668981186896488
29,40,1,1984-06-01,5.531476130200711,1.1043189084223584,4.547143115545674,3.9851364918552576,2.596527926670751,2.596527926670751,False,0.5795466018214808,1.3101732525745091,True,1.264574921097741,2.497762487049219,True,2.3940487718732997,2.6756237842518193,True,3.4475078842806366,3.433981330212351,0.9340780417038848
30,41,1,1984-07-01,5.635735007560427,1.5992872454808735,3.7105862974475623,4.875737959817388,2.414314622320825,2.414314622320825,False,0.4833237212887421,1.373841932078628,True,0.7228574700826184,2.000092101642471,True,2.9659791542855736,3.525399773848963,True,3.4337106489805436,3.428619291818809,0.8781366171465405
31,42,2,1984-08-01,5.142978482593117,2.879771737935993,2.505906221419712,5.416536799220064,1.5001506796397777,3.8077177751173834,True,0.49468499065013516,1.9822374601246027,True,1.0306872378861376,1.7169007112522463,True,3.189603971565456,4.0818332585030594,True,3.4313648289441425,3.4773363320224395,2.018591541790683
32,43,2,1984-09-01,4.398674064503866,3.7091663731516564,0.8789883809829623,5.47959759561905,0.8660821423947397,3.444480389827945,True,0.6731845556906201,2.3564091951173736,True,0.8564429508196788,1.6127944237420058,True,3.5023119958591735,4.557245167449792,True,3.4164134218404145,3.4708486177869196,1.5188211636020514
33,44,2,1984-10-01,3.743770710116905,4.7986645746344605,1.5077502360314015,5.582366931741131,0.45701447051162836,2.710423012073655,True,0.7219839653263945,2.839073913998406,True,1.1526969133715819,1.6084506825950364,True,3.520862923850633,4.57874424995104,True,3.4273397191082005,3.5014176804570925,1.6350366868483612
34,45,0,1984-11-01,1.9902551814170242,5.51754573404968,2.7973972882105937,5.12706906730584,0.4275936742551343,1.7085950550052167,True,1.7979487646706815,4.907681448672064,True,1.2912213600985543,2.0547474553909435,True,3.4916473975254116,4.230171180959006,True,3.432345579156486,3.5014659100731413,1.4213443202523899
35,46,0,1984-12-01,0.9559317964724039,5.7488987416996435,4.037132632591458,4.369358929917962,0.4475732226745714,1.5028669229382785,True,2.4547227419474766,2.4547227419474766,False,1.765995498739799,2.960854180652342,True,3.0548510652375485,3.563394250448053,True,3.4493083003414444,3.4960428038942246,0.8670195896247801
36,47,0,1985-01-01,1.4992455366670443,5.62300545034493,4.957236059024307,3.329268612375177,0.6069960595343754,1.6921901726828046,True,2.3616174171875786,5.312874397004874,True,2.648125926133912,3.437982089506187,True,1.855534830383876,2.8031603361277653,True,3.464770154548271,3.4929862338537614,1.2923057233659587
37,48,3,1985-02-01,2.629041327485506,5.289482640253627,5.4651917291181284,2.4537323363669956,0.6489561765271965,2.377535972997248,True,2.0159657576334187,5.049177091355354,True,3.1525577958313002,4.447113197979556,True,0.9804317018984976,2.251586875665483,True,3.471562275195264,3.4793323465892434,1.0136820513410514
38,49,3,1985-03-01,3.8020337131967,4.667097387242894,5.7522256953022675,1.0909458681879525,0.6482847235058034,2.79670662039383,True,1.2591706331572272,2.979242943447637,True,3.38857828001859,4.840432512917363,True,0.6881733390905953,1.5400860902527973,True,3.456281258024236,3.4437335779568534,1.7266325565400646
39,50,3,1985-04-01,4.524316650674829,3.9548729880339484,5.6639909497611205,0.8184007418718034,0.6593751628598772,3.7370226442450774,True,1.116147715327891,3.0349188718095257,True,3.4747310423621887,5.0712276627123885,True,0.4185431443623866,1.477576565676069,True,3.4690363550376997,3.444891253364455,0.9181075118755834
40,51,3,1985-05-01,5.194495821276899,2.8723522860438724,5.354464610810076,1.929984942276704,1.272543265177648,5.0131860395364365,True,0.9456584539955323,1.8746472421759932,True,2.9555801646042075,4.036969280537482,True,0.994326885283886,1.8885175855010405,True,3.4677976454872117,3.4435518813866466,1.5678711857083154
41,52,1,1985-06-01,5.544946915512269,1.4923543602675353,4.737298011934792,3.298349370612779,2.22174840584542,5.388345519545031,True,0.7569009658254056,1.5363411690945339,True,2.294960651788833,3.17374422753576,True,2.15013993605991,2.6407758718882017,True,3.451665527381907,3.4399097263354323,1.0567654863591054
42,53,1,1985-07-01,5.579353194747204,0.7791424532180211,3.9506469930970924,4.434123047823174,2.405276793399232,2.405276793399232,False,0.4216229458747356,1.5286920426411243,True,1.251878339846162,1.9371703528458744,True,2.7476193769390935,3.061625579478609,True,3.4303504461819734,3.4251559556414586,1.6139108224724052
43,54,1,1985-08-01,5.543729751726361,1.8771380541109346,2.8828639264532603,5.238215181809041,1.8211183061018754,5.331320528993136,True,0.2074728731078716,1.1763895985974961,True,0.9317322449642093,1.6294812662035933,True,2.8842209080600814,3.476789604463837,True,3.446830046504879,3.4679994733909316,0.931376870336543
44,55,2,1985-09-01,5.015984472657296,3.053391436290365,1.769942510962174,5.642879357312291,1.4913862031331604,4.308208318950412,True,0.237005681537119,1.8845758812661781,True,0.21066300071974806,1.507450617278243,True,3.4264022103004548,4.849082284324078,True,3.444865272170974,3.487297117864573,1.2014590262164015
45,56,2,1985-10-01,4.0515387071816935,4.25066988392795,0.800004448261487,5.772310569307621,0.9665580461329191,2.171484943362123,True,0.5147030439089372,2.9729758956816337,True,0.8102815827786596,1.4577977084651637,True,3.562185286003403,5.319620663956302,True,3.443316903291423,3.5319661630924215,1.9553212019973913
46,57,2,1985-11-01,2.9660852499243795,5.094490492944254,1.6741859432038513,5.54436367558887,0.435775580012054,2.1288818161300673,True,1.083395133679281,3.7676030132035208,True,1.0030032490103713,1.6295906683124768,True,3.4890680513702934,4.68175204512828,True,3.4516035328348087,3.524249965538884,0.2752740110873338
47,58,0,1985-12-01,1.6359447896528212,5.606363838261524,3.042849116340142,4.968490317697509,0.12281423994704796,1.658344725573011,True,1.8982575790798282,4.9800322451599595,True,1.3664986039336966,2.195633734117782,True,3.339963987398496,4.054122602132736,True,3.451253305533824,3.502646541756,0.716084872787867
48,59,0,1986-01-01,0.77492211017997,5.729884926913985,4.196489523672737,4.077793242899309,0.16476942544990003,1.523545316379527,True,2.1634414588110804,5.438981311053914,True,1.7854710382054262,3.0024980589429373,True,2.953913906396245,3.4007428761133913,True,3.458226072422788,3.49657777558071,0.695012673027406
49,60,0,1986-02-01,1.6920949567113113,5.538657614961797,5.0788477264119924,3.024272604574915,0.6044545762024971,2.067533222526646,True,2.049852033069865,5.175207635763277,True,2.8699914829467383,3.4171377915471184,True,1.7619267728429664,2.807750595844038,True,3.47034788303703,3.484261468531042,1.790703874185824
50,61,3,1986-03-01,2.9297312891347858,5.081245031708292,5.6816543284398975,1.8958387919167254,0.6544673614132284,1.8542481563017577,True,1.6387977179210804,3.9203077651112754,True,3.0697967697375814,4.263805805873111,True,1.4644236549867469,2.022525412885033,True,3.4599808297005676,3.457210221229184,1.4837313485586034
51,62,3,1986-04-01,4.569395809408649,4.031113009648379,5.862878582828523,1.1739199881277755,0.7746491688323784,3.4919669623615035,True,0.881898695608506,2.056974561261395,True,3.125715611632767,4.781693645144439,True,0.8428360093529618,1.6023172142549549,True,3.458412937185342,3.4371442812478255,1.5114303156314208
52,63,3,1986-05-01,5.375768686168255,2.6890107242553642,5.51894364946984,2.2742445541271943,1.2489256780008176,4.873983722700807,True,0.5806174492644922,1.6019384462647719,True,2.698660054359563,3.5486604469700334,True,1.2961545443828455,1.9230078035568936,True,3.4589395159699396,3.4331763470011842,0.999821796635523
53,64,1,1986-06-01,5.710689470024841,1.8009390267264624,5.026431421248705,3.6348443567261404,1.7491093792375239,5.320696947146398,True,0.6531039775578812,1.7398235536873707,True,2.2006722182049048,2.5007796271789844,True,1.667916957459627,2.2193893641860662,True,3.4610572346216353,3.44705693381652,0.44641636802336804
54,65,1,1986-07-01,5.736210506726679,1.0283187168861037,3.8789565411461533,4.509061061646011,2.3839863118761953,2.3839863118761953,False,0.5074664731946386,1.5077385674233095,True,1.5401048304218794,2.3317456989495153,True,2.429149536505364,2.7048404198339906,True,3.460746157925028,3.4694484220259922,1.1889764860621261
