model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-0.10636729058320625,root_mean_squared_error,0.025210857391357422,109.27158904075623,0.0009925365447998047,0.04464578628540039,2,True,5
CatBoost,-0.11218413743082081,root_mean_squared_error,0.013220548629760742,101.72734999656677,0.013220548629760742,101.72734999656677,1,True,4
LightGBMXT,-0.12580529045632513,root_mean_squared_error,0.010997772216796875,7.499593257904053,0.010997772216796875,7.499593257904053,1,True,1
LightGBM,-0.14951837761668937,root_mean_squared_error,0.01952075958251953,7.055226564407349,0.01952075958251953,7.055226564407349,1,True,2
RandomForestMSE,-0.18698122803021058,root_mean_squared_error,0.23460674285888672,1.8651823997497559,0.23460674285888672,1.8651823997497559,1,True,3
