model_id,rmse,mse,mae,rmsle,mean_residual_deviance
StackedEnsemble_AllModels_1_AutoML_2_20250918_200932,0.4729503138538325,0.2236819993744387,0.3791203387926698,0.0165175423391914,0.2236819993744387
StackedEnsemble_BestOfFamily_1_AutoML_2_20250918_200932,0.4757290557945062,0.2263181345271324,0.3814066256729451,0.0166103284627055,0.2263181345271324
GLM_1_AutoML_2_20250918_200932,0.4814276047967021,0.2317725386602895,0.3874123512200862,0.0168238078012261,0.2317725386602895
GBM_2_AutoML_2_20250918_200932,0.485247576656271,0.2354652106507836,0.3872815611529707,0.0169286021834912,0.2354652106507836
GBM_grid_1_AutoML_2_20250918_200932_model_4,0.4864764393230601,0.236659326016443,0.3875908682966392,0.0169875537191894,0.236659326016443
GBM_3_AutoML_2_20250918_200932,0.4883222655417394,0.238458635023817,0.3897683653293097,0.0170378387553333,0.238458635023817
GBM_grid_1_AutoML_2_20250918_200932_model_5,0.4917650078073413,0.2418328229037545,0.3901513664444275,0.0171620926255599,0.2418328229037545
GBM_grid_1_AutoML_2_20250918_200932_model_2,0.492194802510226,0.2422557236180804,0.3902899373742548,0.0171685445688324,0.2422557236180804
GBM_4_AutoML_2_20250918_200932,0.4923983074810514,0.2424560932102041,0.3906910002468309,0.017188752193984,0.2424560932102041
GBM_grid_1_AutoML_2_20250918_200932_model_1,0.4949472531923424,0.2449727834426447,0.3940917821722089,0.0172691966099726,0.2449727834426447
GBM_5_AutoML_2_20250918_200932,0.4958084562499081,0.245826025288917,0.3938478222936553,0.0173119668350913,0.245826025288917
GBM_grid_1_AutoML_2_20250918_200932_model_6,0.5138670370798152,0.2640593317971881,0.406338844844915,0.0179577132498562,0.2640593317971881
GBM_1_AutoML_2_20250918_200932,0.5150836224184636,0.2653111380837264,0.4063917010717443,0.0179999292247592,0.2653111380837264
GBM_grid_1_AutoML_2_20250918_200932_model_3,0.539326102485284,0.2908726448219671,0.4328143911718851,0.018826477119095,0.2908726448219671
